name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Dairy Cottage,"Situated 22 km from Telford International Centre, Dairy Cottage features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4HE,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Parlour - Uk10958,"The Parlour - Uk10958, a property with a garden, is set in Walford, 18 km from Shrewsbury Cathedral, 20 km from Whittington Castle, as well as 25 km from...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Beaconsfield Park,"Featuring a hot tub, Beaconsfield Park is set in Shrewsbury. There is an on-site restaurant, plus free private parking and free WiFi are available.",Upper Battlefield,,,Shrewsbury,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday park,Managed by Hoseasons,
Bank House Barn,"Located in Shrewsbury in the Shropshire region, Bank House Barn provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8LY,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Tractor Shed,"The Tractor Shed, a property with barbecue facilities, is set in Preesgreen, 40 km from Trentham Gardens, 42 km from Ironbridge Gorge, as well as 46 km...",Preesgreen,,,Preesgreen,Shropshire,SY4 5LR,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups...",Ellesmere Road,,,Shrewsbury,Shropshire,SY1 2PR,UK,,,,,SY1,Holiday home,,Entire home
Pass the Keys 1 bed 40D Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys 1 bed 40D Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,Managed by Katie,Entire home
The Shrewsbury Hotel Wetherspoon,"Boasting a bar, The Shrewsbury Hotel Wetherspoon is situated opposite River Severn.",Bridge Place,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Hotel,,
The Swift,"Located 44 km from Chester Racecourse, The Swift provides accommodation with free WiFi and free private parking.",Whitchurch,,,Whitchurch,Shropshire,SY13 2QS,UK,,,,,SY13,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Shrewsbury Hotel Wetherspoon,"Boasting a bar, The Shrewsbury Hotel Wetherspoon is situated opposite River Severn.",Bridge Place,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Hotel,,
Orchard Cottage,"Orchard Cottage, a property with a garden, is situated in Shrewsbury, 40 km from Telford International Centre, 43 km from Ironbridge Gorge, as well as 45...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 5RT,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Pass the Keys Town Location for Shrewsbury with 3 Bedrooms,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Town Location for Shrewsbury with 3 Bedrooms features a terrace.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2NX,UK,,,,,SY1,Holiday home,Managed by Michael,Entire home
Family home close to Shrewsbury Town centre,"Family home close to Shrewsbury Town centre, a property with a garden, is set in Shrewsbury, 25 km from Telford International Centre, 50 km from...",Wilfred Owen Close,,,Shrewsbury,Shropshire,SY2 5BY,UK,,,,,SY2,Holiday home,Hosted by James & Anna,Entire home
Sunny Corner,"Sunny Corner, a property with barbecue facilities, is set in Church Stretton, 43 km from Telford International Centre, 13 km from Stokesay Castle, as well...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DD,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Ludwick Apartment,"Situated in Shrewsbury and only 23 km from Ironbridge Gorge, Ludwick Apartment features accommodation with garden views, free WiFi and free private...",129 Abbey Foregate,,,Shrewsbury,Shropshire,SY2 6AX,UK,,,,,SY2,Apartment,,Apartments
Pickle Cottage,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Pickle Cottage features accommodation with garden views, free WiFi and free private...",1 Crossways,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,,Entire home
The Old Three Pigeons,"Situated in Nesscliffe, in a historic building, 39 km from Ironbridge Gorge, The Old Three Pigeons is an apartment with a garden and terrace.",Nesscliffe,,,Nesscliffe,Shropshire,SY4 1DB,UK,,,,,SY4,Apartment,,Entire apartment
Eastridge Glamping - Camping Pods,"Situated within 38 km of Ironbridge Gorge and 39 km of Telford International Centre in Shrewsbury, Eastridge Glamping - Camping Pods features accommodation...",Habberley Road,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping,
Grove Farm Cottage,"Set in Condover in the Shropshire region, Grove Farm Cottage offers accommodation with free WiFi and free private parking.",Condover,,,Condover,Shropshire,SY5 7BH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Hill Brow,"Hill Brow, a property with barbecue facilities, is set in Acton Scott, 38 km from Telford International Centre, 12 km from Stokesay Castle, as well as 23...",Acton Scott,,,Acton Scott,Shropshire,SY6 6QP,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Stylish modern two bedroom home in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Stylish modern two bedroom home in Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6JF,UK,,,,,SY2,Holiday home,Managed by Emma & Karl,Entire home
Byre Cottage,"Byre Cottage, a property with barbecue facilities, is located in Nesscliffe, 39 km from Telford International Centre, 14 km from Shrewsbury Cathedral, as...",Nesscliffe,,,Nesscliffe,Shropshire,SY4 1AX,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
College Hill Shrewsbury,"Offering city views, College Hill Shrewsbury is an accommodation located in Shrewsbury, 27 km from Telford International Centre and 400 metres from...",College Hill,,,Shrewsbury,Shropshire,SY1 1LT,UK,,,,,SY1,Apartment,Hosted by Karl,Entire apartment
4 Bedroom Townhouse 10mins walk from Shrewsbury Town Centre with Parking,"4 Bedroom Townhouse 10mins walk from Shrewsbury Town Centre with Parking, a property with a garden and a terrace, is located in Shrewsbury, 26 km from...",22 Beddow Close,,,Shrewsbury,Shropshire,SY1 2NX,UK,,,,,SY1,Holiday home,Hosted by Tom At Effective Stays Ltd,Entire home
Old Rectory,"With individually styled rooms, this impressive Georgian house is set within 3.5 acres of grounds on the edge of the town of Wem.",Lowe Hill Road,,,Wem,Shropshire,SY4 5UA,UK,,,,,SY4,Hotel,,
Casaamor Homes,"Casaamor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",SY12BG,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Apartment,,Entire apartment
Pass the Keys Luxury 5 bedroom Riverside home in town centre,"Offering a garden and garden view, Pass the Keys Luxury 5 bedroom Riverside home in town centre is located in Shrewsbury, 25 km from Ironbridge Gorge and...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 7AQ,UK,,,,,SY3,Holiday home,Managed by John,Entire home
Stockbatch Granary,"Stockbatch Granary is located in Shrewsbury, 30 km from Telford International Centre, 8.9 km from Attingham Park, and 11 km from Shrewsbury Cathedral.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7DN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Stables,"Set 25 km from Ironbridge Gorge, The Stables offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7HD,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
42 Albury Place,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 42 Albury Place provides accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY12EY,UK,,,,,SY12EY,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Ineff Barn,"Situated in Pontesbury in the Shropshire region, Ineff Barn features accommodation with free WiFi and free private parking.",Pontesbury,,,Pontesbury,Shropshire,SY5 0UH,UK,,,,,SY5,Holiday home,,Entire home
NiCheGetaway,"Housed in a historic building, NiCheGetaway provides accommodation with a garden and free WiFi in Shrewsbury, 26 km from Ironbridge Gorge.",Claremont buildings apartment 5Q,,,Shrewsbury,Shropshire,SY1 1RJ,UK,,,,,SY1,Apartment,Hosted by At Niche gateway a real special retreat,Entire apartment
Pass the Keys Brand new 2 bedroom apartment with parking,"Pass the Keys Brand new 2 bedroom apartment with parking is located in Shrewsbury, 26 km from Telford International Centre, 1.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2ET,UK,,,,,SY1,Apartment,Managed by Opeyemi and Lee,Entire apartment
Thursdays Corner Tudor Cottage,"Offering mountain views, Thursdays Corner Tudor Cottage is an accommodation situated in Church Stretton, 43 km from Telford International Centre and 14 km...",Thursdays Corner 84 High Street,,,Church Stretton,Shropshire,SY6 6BY,UK,,,,,SY6,Holiday home,,Entire home
The Little Cygnet on Swan Hill,"Located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, The Little Cygnet on Swan Hill provides quiet street views...",15A Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo Henshaw owner and founder of Stayinshrewsbury,Entire apartment
Abel's Harp,"In an Area of Outstanding Natural Beauty, Abel’s Harp in the Shropshire Hills, close to the Welsh/English border.",Abel's Harp,Bromlow,,Bromlow,Shropshire,SY5 0EA,UK,,,,,SY5,Inn,,
Luxurious 2 Bedroom Countryside Hot Tub Retreat in Stiperstones,"44 km from Ironbridge Gorge in Shelve, Luxurious 2 Bedroom Countryside Hot Tub Retreat in Stiperstones offers accommodation with access to a hot tub.",4 Perkins Beach Dingle,,,Shelve,Shropshire,SY5 0PE,UK,,,,,SY5,Holiday home,,Entire home
Black Lion Barn Retreat,"Black Lion Barn Retreat is located in Shrewsbury, 37 km from Telford International Centre, 13 km from Shrewsbury Cathedral, as well as 19 km from Attingham...",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8EA,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Round House,"Located in Church Stretton in the Shropshire region, Round House provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 7BL,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Grove Farm Cottage,"Set in Condover in the Shropshire region, Grove Farm Cottage offers accommodation with free WiFi and free private parking.",Condover,,,Condover,Shropshire,SY5 7BH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Abbots Mead Hotel,"In the heart of Shrewsbury town centre, with free private parking and free Wi-Fi, this carefully preserved Georgian townhouse offers, 16 en suite rooms and...",St Julians Friars,,,Shrewsbury,Shropshire,SY1 1XL,UK,,,,,SY1,Hotel,,
Pass the Keys Cosy and romantic barn with countryside views,"Offering a garden and garden view, Pass the Keys Cosy and romantic barn with countryside views is situated in Shrewsbury, 33 km from Telford International...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 0BW,UK,,,,,SY3,Holiday home,Managed by Glyn,Entire home
Shepherds Cottage,"Featuring garden views, Shepherds Cottage provides accommodation with a patio, around 36 km from Telford International Centre.",Shepherds Cottage,,,Shrewsbury,Shropshire,SY4 2LE,UK,,,,,SY4,Holiday home,,Entire home
Boutique Shrewsbury Rooms,"Boutique Shrewsbury Rooms is located in Shrewsbury, 25 km from Telford International Centre, 50 km from Chillington Hall, as well as 1.",14A Underdale Road,,,Shrewsbury,Shropshire,SY2 5DL,UK,,,,,SY2,Homestay,Managed by Underdale Property Management Ltd,
Pickle Cottage,"Situated in Church Stretton and only 28 km from Ironbridge Gorge, Pickle Cottage features accommodation with garden views, free WiFi and free private...",1 Crossways,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,,Entire home
"The Telford Hotel, Spa & Golf Resort","Overlooking Ironbridge Gorge, the modern 4-star The Telford Hotel, Spa & Golf Resort features a spa, a gym, free parking and an 18-hole golf course.",Great Hay Drive,,,Telford,Shropshire,TF7 4DT,UK,,,,,TF7,Hotel,,
Little Glenwood,"Located 43 km from Ironbridge Gorge, Little Glenwood provides accommodation with free WiFi and free private parking.",knockin heath,,,Knockin,Shropshire,SY10 8EA,UK,,,,,SY10,Apartment,,Entire apartment
Curlew Cottage,"Curlew Cottage, a property with a garden, is situated in Bishops Castle, 24 km from Shrewsbury Cathedral, 29 km from Dolforwyn Castle, as well as 29 km...",Bishops Castle,,,Bishops Castle,Shropshire,SY5 0EE,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
Anton Guest House Bed and Breakfast,This former Victorian Gentleman's residence is located 10 minutes’ walk from Shrewsbury town centre.,1 Canon St,,,Shrewsbury,Shropshire,SY2 5HG,UK,,,,,SY2,Bed and breakfast,Hosted by Louise Warman,
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Mytton and Mermaid - Brunning and Price,"The Mytton and Mermaid - Brunning and Price is a splendid Grade II-listed building on the bank of the River Severn, England’s longest river.",Atcham,,,Shrewsbury,Shropshire,SY5 6QG,UK,,,,,SY5,Hotel,,
Immaculate 2-Bed Villa in Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Immaculate 2-Bed Villa in Shrewsbury features accommodation with free WiFi and free private parking.",5 Thorns Grove,,,Shrewsbury,Shropshire,SY3 5BY,UK,,,,,SY3,Villa,Managed by Travelnest,Entire home
Callow Lodge 22,"Boasting a hot tub, Callow Lodge 22 is set in Hadnall. The property is located 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
"Studio 3, Top Floor Town Centre Apartment","Situated in Shrewsbury in the Shropshire region, Studio 3, Top Floor Town Centre Apartment has a terrace.",11 Wyle Cop Third Floor Flat,,,Shrewsbury,Shropshire,SY1 1XB,UK,,,,,SY1,Apartment,Managed by Effective Stays Ltd,Entire apartment
Chandeliers 6,"Situated in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, Chandeliers 6 features accommodation with free WiFi in a...",6-7 Mardol,,,Shrewsbury,Shropshire,SY1 1PY,UK,,,,,SY1,Apartment,Hosted by Hannah,Entire apartment
5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 5 Bedroom Victorian Town House - Perfect for Contractors and Family Groups...",Ellesmere Road,,,Shrewsbury,Shropshire,SY1 2PR,UK,,,,,SY1,Holiday home,,Entire home
Hazler Lodge,"Boasting garden views, Hazler Lodge offers accommodation with a garden and a patio, around 27 km from Ironbridge Gorge.",Hazler Road Church Stretton,,,Church Stretton,Shropshire,SY6 7AF,UK,,,,,SY6,Bed and breakfast,,
42 Albury Place,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, 42 Albury Place provides accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY12EY,UK,,,,,SY12EY,Apartment,Managed by Sykes Holiday Cottages,Entire apartment
Large Ground floor apartment in the heart of Church Stretton with free parking,"Offering inner courtyard views, Large Ground floor apartment in the heart of Church Stretton with free parking is an accommodation set in Church Stretton,...",Sandford Avenue 1 Lorne House,,,Church Stretton,Shropshire,SY6 6BW,UK,,,,,SY6,Apartment,Hosted by Elaine,Entire apartment
